City_Name,City_Code,Date,Cumulative_verified_cases,Cumulated_recovered,Cumulated_deaths,Cumulated_number_of_tests,Cumulated_number_of_diagnostic_tests
אבו ג'ווייעד (שבט),967,2020-04-19,0,0,0,<15,<15
אבו ג'ווייעד (שבט),967,2020-04-20,0,0,0,<15,<15
אבו ג'ווייעד (שבט),967,2020-04-21,0,0,0,<15,<15
אבו ג'ווייעד (שבט),967,2020-04-22,0,0,0,<15,<15
אבו ג'ווייעד (שבט),967,2020-04-23,0,0,0,<15,<15
אבו ג'ווייעד (שבט),967,2020-04-24,0,0,0,15,15
אבו ג'ווייעד (שבט),967,2020-04-25,0,0,0,15,15
אבו ג'ווייעד (שבט),967,2020-04-26,0,0,0,18,18
אבו ג'ווייעד (שבט),967,2020-04-27,0,0,0,19,19
אבו ג'ווייעד (שבט),967,2020-04-28,0,0,0,19,19
אבו ג'ווייעד (שבט),967,2020-04-29,0,0,0,19,19
אבו ג'ווייעד (שבט),967,2020-04-30,0,0,0,20,20
אבו ג'ווייעד (שבט),967,2020-05-01,0,0,0,20,20
אבו ג'ווייעד (שבט),967,2020-05-02,0,0,0,21,21
אבו ג'ווייעד (שבט),967,2020-05-03,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-04,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-05,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-06,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-07,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-08,0,0,0,23,23
אבו ג'ווייעד (שבט),967,2020-05-09,0,0,0,24,24
אבו ג'ווייעד (שבט),967,2020-05-10,0,0,0,25,25
אבו ג'ווייעד (שבט),967,2020-05-11,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-12,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-13,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-14,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-15,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-16,0,0,0,26,26
אבו ג'ווייעד (שבט),967,2020-05-17,0,0,0,27,27
אבו ג'ווייעד (שבט),967,2020-05-18,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-19,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-20,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-21,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-22,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-23,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-24,0,0,0,28,28
אבו ג'ווייעד (שבט),967,2020-05-25,0,0,0,29,29
אבו ג'ווייעד (שבט),967,2020-05-26,0,0,0,29,29
אבו ג'ווייעד (שבט),967,2020-05-27,0,0,0,29,29
אבו ג'ווייעד (שבט),967,2020-05-28,0,0,0,29,29
אבו ג'ווייעד (שבט),967,2020-05-29,0,0,0,29,29
אבו ג'ווייעד (שבט),967,2020-05-30,0,0,0,30,30
אבו ג'ווייעד (שבט),967,2020-05-31,0,0,0,30,30
אבו ג'ווייעד (שבט),967,2020-06-01,0,0,0,30,30
אבו ג'ווייעד (שבט),967,2020-06-02,0,0,0,31,31
אבו ג'ווייעד (שבט),967,2020-06-03,0,0,0,32,32
אבו ג'ווייעד (שבט),967,2020-06-04,0,0,0,33,33
אבו ג'ווייעד (שבט),967,2020-06-05,0,0,0,34,34
אבו ג'ווייעד (שבט),967,2020-06-06,0,0,0,34,34
אבו ג'ווייעד (שבט),967,2020-06-07,0,0,0,36,36
אבו ג'ווייעד (שבט),967,2020-06-08,0,0,0,38,38
אבו ג'ווייעד (שבט),967,2020-06-09,0,0,0,38,38
אבו ג'ווייעד (שבט),967,2020-06-10,0,0,0,39,39
אבו ג'ווייעד (שבט),967,2020-06-11,0,0,0,39,39
אבו ג'ווייעד (שבט),967,2020-06-12,0,0,0,40,40
אבו ג'ווייעד (שבט),967,2020-06-13,0,0,0,40,40
אבו ג'ווייעד (שבט),967,2020-06-14,0,0,0,41,41
אבו ג'ווייעד (שבט),967,2020-06-15,0,0,0,42,42
אבו ג'ווייעד (שבט),967,2020-06-16,0,0,0,43,43
אבו ג'ווייעד (שבט),967,2020-06-17,0,0,0,43,43
אבו ג'ווייעד (שבט),967,2020-06-18,0,0,0,44,44
אבו ג'ווייעד (שבט),967,2020-06-19,0,0,0,45,45
אבו ג'ווייעד (שבט),967,2020-06-20,0,0,0,46,46
אבו ג'ווייעד (שבט),967,2020-06-21,0,0,0,50,50
אבו ג'ווייעד (שבט),967,2020-06-22,0,0,0,50,50
אבו ג'ווייעד (שבט),967,2020-06-23,0,0,0,50,50
אבו ג'ווייעד (שבט),967,2020-06-24,0,0,0,54,54
אבו ג'ווייעד (שבט),967,2020-06-25,0,0,0,55,55
אבו ג'ווייעד (שבט),967,2020-06-26,0,0,0,58,58
אבו ג'ווייעד (שבט),967,2020-06-27,0,0,0,59,59
אבו ג'ווייעד (שבט),967,2020-06-28,0,0,0,60,60
אבו ג'ווייעד (שבט),967,2020-06-29,0,0,0,61,61
אבו ג'ווייעד (שבט),967,2020-06-30,0,0,0,62,62
אבו ג'ווייעד (שבט),967,2020-07-01,0,0,0,63,63
אבו ג'ווייעד (שבט),967,2020-07-02,0,0,0,65,65
אבו ג'ווייעד (שבט),967,2020-07-03,0,0,0,68,68
אבו ג'ווייעד (שבט),967,2020-07-04,0,0,0,68,68
אבו ג'ווייעד (שבט),967,2020-07-05,0,0,0,70,70
אבו ג'ווייעד (שבט),967,2020-07-06,0,0,0,73,73
אבו ג'ווייעד (שבט),967,2020-07-07,0,0,0,75,75
אבו ג'ווייעד (שבט),967,2020-07-08,0,0,0,76,76
אבו ג'ווייעד (שבט),967,2020-07-09,0,0,0,77,77
אבו ג'ווייעד (שבט),967,2020-07-10,0,0,0,77,77
אבו ג'ווייעד (שבט),967,2020-07-11,0,0,0,78,78
אבו ג'ווייעד (שבט),967,2020-07-12,0,0,0,79,79
אבו ג'ווייעד (שבט),967,2020-07-13,0,0,0,81,81
אבו ג'ווייעד (שבט),967,2020-07-14,0,0,0,84,84
אבו ג'ווייעד (שבט),967,2020-07-15,0,0,0,86,86
אבו ג'ווייעד (שבט),967,2020-07-16,0,0,0,87,87
אבו ג'ווייעד (שבט),967,2020-07-17,0,0,0,89,89
אבו ג'ווייעד (שבט),967,2020-07-18,0,0,0,91,91
אבו ג'ווייעד (שבט),967,2020-07-19,0,0,0,93,93
אבו ג'ווייעד (שבט),967,2020-07-20,0,0,0,93,93
אבו ג'ווייעד (שבט),967,2020-07-21,0,0,0,94,94
אבו ג'ווייעד (שבט),967,2020-07-22,0,0,0,97,97
אבו ג'ווייעד (שבט),967,2020-07-23,0,0,0,97,97
אבו ג'ווייעד (שבט),967,2020-07-24,0,0,0,99,99
אבו ג'ווייעד (שבט),967,2020-07-25,0,0,0,101,101
אבו ג'ווייעד (שבט),967,2020-07-26,0,0,0,102,102
אבו ג'ווייעד (שבט),967,2020-07-27,0,0,0,105,105
אבו ג'ווייעד (שבט),967,2020-07-28,0,0,0,106,106
אבו ג'ווייעד (שבט),967,2020-07-29,0,0,0,107,107
אבו ג'ווייעד (שבט),967,2020-07-30,0,0,0,111,111
אבו ג'ווייעד (שבט),967,2020-07-31,0,0,0,112,112
אבו ג'ווייעד (שבט),967,2020-08-01,0,0,0,114,114
אבו ג'ווייעד (שבט),967,2020-08-02,0,0,0,114,114
אבו ג'ווייעד (שבט),967,2020-08-03,0,0,0,116,116
אבו ג'ווייעד (שבט),967,2020-08-04,0,0,0,118,118
אבו ג'ווייעד (שבט),967,2020-08-05,0,0,0,119,119
אבו ג'ווייעד (שבט),967,2020-08-06,0,0,0,120,120
אבו ג'ווייעד (שבט),967,2020-08-07,0,0,0,122,122
אבו ג'ווייעד (שבט),967,2020-08-08,0,0,0,123,123
אבו ג'ווייעד (שבט),967,2020-08-09,0,0,0,125,125
אבו ג'ווייעד (שבט),967,2020-08-10,0,0,0,126,126
אבו ג'ווייעד (שבט),967,2020-08-11,0,0,0,127,127
אבו ג'ווייעד (שבט),967,2020-08-12,0,0,0,128,128
אבו ג'ווייעד (שבט),967,2020-08-13,0,0,0,129,129
אבו ג'ווייעד (שבט),967,2020-08-14,0,0,0,131,131
אבו ג'ווייעד (שבט),967,2020-08-15,0,0,0,131,131
אבו ג'ווייעד (שבט),967,2020-08-16,0,0,0,133,133
אבו ג'ווייעד (שבט),967,2020-08-17,0,0,0,137,137
אבו ג'ווייעד (שבט),967,2020-08-18,0,0,0,138,138
אבו ג'ווייעד (שבט),967,2020-08-19,0,0,0,140,140
אבו ג'ווייעד (שבט),967,2020-08-20,0,0,0,141,141
אבו ג'ווייעד (שבט),967,2020-08-21,0,0,0,143,143
אבו ג'ווייעד (שבט),967,2020-08-22,0,0,0,143,143
אבו ג'ווייעד (שבט),967,2020-08-23,0,0,0,143,143
אבו ג'ווייעד (שבט),967,2020-08-24,0,0,0,144,144
אבו ג'ווייעד (שבט),967,2020-08-25,0,0,0,145,145
אבו ג'ווייעד (שבט),967,2020-08-26,0,0,0,147,147
אבו ג'ווייעד (שבט),967,2020-08-27,0,0,0,150,150
אבו ג'ווייעד (שבט),967,2020-08-28,0,0,0,151,151
אבו ג'ווייעד (שבט),967,2020-08-29,0,0,0,153,153
אבו ג'ווייעד (שבט),967,2020-08-30,0,0,0,153,153
אבו ג'ווייעד (שבט),967,2020-08-31,0,0,0,154,154
אבו ג'ווייעד (שבט),967,2020-09-01,0,0,0,155,155
אבו ג'ווייעד (שבט),967,2020-09-02,0,0,0,160,160
אבו ג'ווייעד (שבט),967,2020-09-03,0,0,0,163,163
אבו ג'ווייעד (שבט),967,2020-09-04,0,0,0,164,164
אבו ג'ווייעד (שבט),967,2020-09-05,0,0,0,166,166
אבו ג'ווייעד (שבט),967,2020-09-06,0,0,0,167,167
אבו ג'ווייעד (שבט),967,2020-09-07,0,0,0,170,170
אבו ג'ווייעד (שבט),967,2020-09-08,0,0,0,171,171
אבו ג'ווייעד (שבט),967,2020-09-09,0,0,0,175,175
אבו ג'ווייעד (שבט),967,2020-09-10,0,0,0,177,177
אבו ג'ווייעד (שבט),967,2020-09-11,0,0,0,178,178
אבו ג'ווייעד (שבט),967,2020-09-12,0,0,0,179,179
אבו ג'ווייעד (שבט),967,2020-09-13,0,0,0,181,181
אבו ג'ווייעד (שבט),967,2020-09-14,0,0,0,182,182
אבו ג'ווייעד (שבט),967,2020-09-15,0,0,0,186,186
אבו ג'ווייעד (שבט),967,2020-09-16,0,0,0,188,188
אבו ג'ווייעד (שבט),967,2020-09-17,0,0,0,190,190
אבו ג'ווייעד (שבט),967,2020-09-18,0,0,0,191,191
אבו ג'ווייעד (שבט),967,2020-09-19,0,0,0,193,193
אבו ג'ווייעד (שבט),967,2020-09-20,0,0,0,195,195
אבו ג'ווייעד (שבט),967,2020-09-21,0,0,0,197,197
אבו ג'ווייעד (שבט),967,2020-09-22,0,0,0,197,197
אבו ג'ווייעד (שבט),967,2020-09-23,0,0,0,199,199
אבו ג'ווייעד (שבט),967,2020-09-24,0,0,0,203,203
אבו ג'ווייעד (שבט),967,2020-09-25,0,0,0,206,206
אבו ג'ווייעד (שבט),967,2020-09-26,0,0,0,206,206
אבו ג'ווייעד (שבט),967,2020-09-27,0,0,0,207,207
אבו ג'ווייעד (שבט),967,2020-09-28,0,0,0,210,210
אבו ג'ווייעד (שבט),967,2020-09-29,0,0,0,211,211
אבו ג'ווייעד (שבט),967,2020-09-30,0,0,0,212,212
אבו ג'ווייעד (שבט),967,2020-10-01,0,0,0,217,217
אבו ג'ווייעד (שבט),967,2020-10-02,0,0,0,220,220
אבו ג'ווייעד (שבט),967,2020-10-03,0,0,0,222,222
אבו ג'ווייעד (שבט),967,2020-10-04,<15,0,0,224,224
אבו ג'ווייעד (שבט),967,2020-10-05,<15,0,0,226,226
אבו ג'ווייעד (שבט),967,2020-10-06,<15,0,0,229,229
אבו ג'ווייעד (שבט),967,2020-10-07,<15,0,0,232,232
אבו ג'ווייעד (שבט),967,2020-10-08,<15,0,0,233,233
אבו ג'ווייעד (שבט),967,2020-10-09,<15,0,0,233,233
אבו ג'ווייעד (שבט),967,2020-10-10,<15,0,0,234,234
אבו ג'ווייעד (שבט),967,2020-10-11,<15,0,0,239,239
אבו ג'ווייעד (שבט),967,2020-10-12,<15,0,0,242,242
אבו ג'ווייעד (שבט),967,2020-10-13,<15,0,0,242,242
אבו ג'ווייעד (שבט),967,2020-10-14,<15,0,0,243,243
אבו ג'ווייעד (שבט),967,2020-10-15,<15,0,0,244,244
אבו ג'ווייעד (שבט),967,2020-10-16,<15,0,0,244,244
אבו ג'ווייעד (שבט),967,2020-10-17,<15,0,0,246,246
אבו ג'ווייעד (שבט),967,2020-10-18,<15,0,0,249,248
אבו ג'ווייעד (שבט),967,2020-10-19,<15,0,0,250,249
אבו ג'ווייעד (שבט),967,2020-10-20,<15,0,0,254,253
אבו ג'ווייעד (שבט),967,2020-10-21,<15,0,0,258,257
אבו ג'ווייעד (שבט),967,2020-10-22,<15,0,0,259,258
אבו ג'ווייעד (שבט),967,2020-10-23,<15,0,0,259,258
אבו ג'ווייעד (שבט),967,2020-10-24,<15,<15,0,259,258
אבו ג'ווייעד (שבט),967,2020-10-25,<15,<15,0,260,258
אבו ג'ווייעד (שבט),967,2020-10-26,<15,<15,0,261,259
אבו ג'ווייעד (שבט),967,2020-10-27,<15,<15,0,263,261
אבו ג'ווייעד (שבט),967,2020-10-28,<15,<15,0,263,261
אבו ג'ווייעד (שבט),967,2020-10-29,<15,<15,0,263,261
אבו ג'ווייעד (שבט),967,2020-10-30,<15,<15,0,263,261
אבו ג'ווייעד (שבט),967,2020-10-31,<15,<15,0,264,262
אבו ג'ווייעד (שבט),967,2020-11-01,<15,<15,0,266,264
אבו ג'ווייעד (שבט),967,2020-11-02,<15,<15,0,270,268
אבו ג'ווייעד (שבט),967,2020-11-03,<15,<15,0,271,269
אבו ג'ווייעד (שבט),967,2020-11-04,<15,<15,0,273,271
אבו ג'ווייעד (שבט),967,2020-11-05,<15,<15,0,273,271
אבו ג'ווייעד (שבט),967,2020-11-06,<15,<15,0,275,273
אבו ג'ווייעד (שבט),967,2020-11-07,<15,<15,0,275,273
אבו ג'ווייעד (שבט),967,2020-11-08,<15,<15,0,275,273
אבו ג'ווייעד (שבט),967,2020-11-09,<15,<15,0,277,275
אבו ג'ווייעד (שבט),967,2020-11-10,<15,<15,0,280,278
אבו ג'ווייעד (שבט),967,2020-11-11,<15,<15,0,282,280
אבו ג'ווייעד (שבט),967,2020-11-12,<15,<15,0,289,287
אבו ג'ווייעד (שבט),967,2020-11-13,<15,<15,0,289,287
אבו ג'ווייעד (שבט),967,2020-11-14,<15,<15,0,290,288
אבו ג'ווייעד (שבט),967,2020-11-15,<15,<15,0,291,289
אבו ג'ווייעד (שבט),967,2020-11-16,<15,<15,0,296,294
אבו ג'ווייעד (שבט),967,2020-11-17,<15,<15,0,297,295
אבו ג'ווייעד (שבט),967,2020-11-18,<15,<15,0,300,298
אבו ג'ווייעד (שבט),967,2020-11-19,<15,<15,0,303,301
אבו ג'ווייעד (שבט),967,2020-11-20,<15,<15,0,306,304
אבו ג'ווייעד (שבט),967,2020-11-21,<15,<15,0,310,308
אבו ג'ווייעד (שבט),967,2020-11-22,<15,<15,0,316,314
אבו ג'ווייעד (שבט),967,2020-11-23,<15,<15,0,319,317
אבו ג'ווייעד (שבט),967,2020-11-24,<15,<15,0,321,319
אבו ג'ווייעד (שבט),967,2020-11-25,<15,<15,0,322,320
אבו ג'ווייעד (שבט),967,2020-11-26,<15,<15,0,325,323
אבו ג'ווייעד (שבט),967,2020-11-27,<15,<15,0,326,324
אבו ג'ווייעד (שבט),967,2020-11-28,<15,<15,0,329,327
אבו ג'ווייעד (שבט),967,2020-11-29,<15,<15,0,331,329
אבו ג'ווייעד (שבט),967,2020-11-30,<15,<15,0,340,338
אבו ג'ווייעד (שבט),967,2020-12-01,<15,<15,0,343,341
אבו ג'ווייעד (שבט),967,2020-12-02,<15,<15,0,348,346
אבו ג'ווייעד (שבט),967,2020-12-03,<15,<15,0,350,348
אבו ג'ווייעד (שבט),967,2020-12-04,<15,<15,0,352,350
אבו ג'ווייעד (שבט),967,2020-12-05,<15,<15,0,356,354
אבו ג'ווייעד (שבט),967,2020-12-06,<15,<15,0,359,357
אבו ג'ווייעד (שבט),967,2020-12-07,<15,<15,0,363,361
אבו ג'ווייעד (שבט),967,2020-12-08,<15,<15,0,365,363
אבו ג'ווייעד (שבט),967,2020-12-09,<15,<15,0,368,366
אבו ג'ווייעד (שבט),967,2020-12-10,<15,<15,0,370,368
אבו ג'ווייעד (שבט),967,2020-12-11,<15,<15,0,372,370
אבו ג'ווייעד (שבט),967,2020-12-12,<15,<15,0,375,373
אבו גוש,472,2020-03-11,0,0,0,0,0
אבו גוש,472,2020-03-12,0,0,0,<15,<15
אבו גוש,472,2020-03-13,0,0,0,<15,<15
אבו גוש,472,2020-03-14,0,0,0,<15,<15
אבו גוש,472,2020-03-15,0,0,0,<15,<15
אבו גוש,472,2020-03-16,0,0,0,<15,<15
אבו גוש,472,2020-03-17,0,0,0,<15,<15
אבו גוש,472,2020-03-18,0,0,0,<15,<15
אבו גוש,472,2020-03-19,0,0,0,<15,<15
אבו גוש,472,2020-03-20,0,0,0,<15,<15
אבו גוש,472,2020-03-21,0,0,0,<15,<15
אבו גוש,472,2020-03-22,0,0,0,<15,<15
אבו גוש,472,2020-03-23,0,0,0,<15,<15
אבו גוש,472,2020-03-24,<15,0,0,<15,<15
אבו גוש,472,2020-03-25,<15,0,0,<15,<15
אבו גוש,472,2020-03-26,<15,0,0,<15,<15
אבו גוש,472,2020-03-27,<15,0,0,<15,<15
אבו גוש,472,2020-03-28,<15,0,0,15,15
אבו גוש,472,2020-03-29,<15,0,0,18,18
אבו גוש,472,2020-03-30,<15,0,0,20,20
אבו גוש,472,2020-03-31,<15,0,0,25,24
אבו גוש,472,2020-04-01,<15,0,0,27,26
אבו גוש,472,2020-04-02,<15,0,0,29,28
אבו גוש,472,2020-04-03,<15,0,0,31,30
אבו גוש,472,2020-04-04,<15,0,0,31,30
אבו גוש,472,2020-04-05,<15,0,0,32,30
אבו גוש,472,2020-04-06,<15,0,0,36,34
אבו גוש,472,2020-04-07,<15,0,0,40,38
אבו גוש,472,2020-04-08,<15,0,0,42,40
אבו גוש,472,2020-04-09,<15,0,0,42,40
אבו גוש,472,2020-04-10,<15,0,0,44,42
אבו גוש,472,2020-04-11,<15,0,0,46,43
אבו גוש,472,2020-04-12,<15,0,0,49,46
אבו גוש,472,2020-04-13,<15,0,0,61,57
אבו גוש,472,2020-04-14,<15,0,0,66,61
אבו גוש,472,2020-04-15,<15,0,0,71,66
אבו גוש,472,2020-04-16,<15,0,0,78,73
אבו גוש,472,2020-04-17,<15,0,0,88,83
אבו גוש,472,2020-04-18,<15,0,0,100,95
אבו גוש,472,2020-04-19,<15,0,0,102,97
אבו גוש,472,2020-04-20,<15,0,0,116,111
אבו גוש,472,2020-04-21,<15,0,0,135,130
אבו גוש,472,2020-04-22,<15,0,0,147,142
אבו גוש,472,2020-04-23,<15,0,0,152,147
אבו גוש,472,2020-04-24,<15,0,0,157,152
אבו גוש,472,2020-04-25,<15,0,0,206,201
אבו גוש,472,2020-04-26,<15,0,0,358,353
אבו גוש,472,2020-04-27,<15,0,0,364,359
אבו גוש,472,2020-04-28,<15,0,0,367,362
אבו גוש,472,2020-04-29,<15,0,0,373,368
אבו גוש,472,2020-04-30,<15,0,0,376,371
אבו גוש,472,2020-05-01,<15,0,0,379,374
אבו גוש,472,2020-05-02,<15,0,0,389,384
אבו גוש,472,2020-05-03,<15,0,0,391,386
אבו גוש,472,2020-05-04,<15,0,0,394,389
אבו גוש,472,2020-05-05,<15,0,0,398,393
אבו גוש,472,2020-05-06,<15,0,0,445,440
אבו גוש,472,2020-05-07,<15,0,0,453,448
אבו גוש,472,2020-05-08,<15,0,0,455,450
אבו גוש,472,2020-05-09,<15,0,0,457,452
אבו גוש,472,2020-05-10,<15,0,0,461,456
אבו גוש,472,2020-05-11,<15,0,0,466,461
אבו גוש,472,2020-05-12,<15,0,0,468,463
אבו גוש,472,2020-05-13,<15,0,0,470,465
אבו גוש,472,2020-05-14,<15,0,0,476,471
אבו גוש,472,2020-05-15,<15,0,0,481,476
אבו גוש,472,2020-05-16,<15,0,0,482,477
אבו גוש,472,2020-05-17,<15,0,0,482,477
אבו גוש,472,2020-05-18,<15,0,0,485,480
אבו גוש,472,2020-05-19,<15,0,0,491,486
אבו גוש,472,2020-05-20,<15,0,0,493,488
אבו גוש,472,2020-05-21,<15,0,0,498,493
אבו גוש,472,2020-05-22,<15,0,0,501,496
אבו גוש,472,2020-05-23,<15,0,0,501,496
אבו גוש,472,2020-05-24,<15,0,0,503,498
אבו גוש,472,2020-05-25,<15,0,0,508,503
אבו גוש,472,2020-05-26,<15,0,0,510,505
אבו גוש,472,2020-05-27,<15,0,0,511,506
אבו גוש,472,2020-05-28,<15,0,0,512,507
אבו גוש,472,2020-05-29,<15,0,0,513,508
אבו גוש,472,2020-05-30,<15,0,0,513,508
אבו גוש,472,2020-05-31,<15,0,0,515,510
אבו גוש,472,2020-06-01,<15,0,0,520,515
אבו גוש,472,2020-06-02,<15,0,0,526,521
אבו גוש,472,2020-06-03,<15,0,0,528,523
אבו גוש,472,2020-06-04,<15,0,0,535,530
אבו גוש,472,2020-06-05,<15,0,0,604,599
אבו גוש,472,2020-06-06,<15,0,0,609,604
אבו גוש,472,2020-06-07,<15,0,0,616,611
אבו גוש,472,2020-06-08,<15,0,0,619,614
אבו גוש,472,2020-06-09,<15,0,0,624,619
אבו גוש,472,2020-06-10,<15,0,0,630,625
אבו גוש,472,2020-06-11,<15,0,0,635,629
אבו גוש,472,2020-06-12,<15,0,0,635,629
אבו גוש,472,2020-06-13,<15,0,0,641,635
אבו גוש,472,2020-06-14,<15,0,0,650,643
אבו גוש,472,2020-06-15,<15,0,0,661,654
אבו גוש,472,2020-06-16,<15,0,0,684,677
אבו גוש,472,2020-06-17,<15,0,0,691,683
אבו גוש,472,2020-06-18,<15,0,0,699,691
אבו גוש,472,2020-06-19,<15,0,0,706,698
אבו גוש,472,2020-06-20,<15,0,0,707,699
אבו גוש,472,2020-06-21,<15,0,0,709,701
אבו גוש,472,2020-06-22,<15,0,0,711,703
אבו גוש,472,2020-06-23,<15,0,0,717,709
אבו גוש,472,2020-06-24,<15,0,0,723,715
אבו גוש,472,2020-06-25,<15,0,0,738,730
אבו גוש,472,2020-06-26,<15,0,0,744,736
אבו גוש,472,2020-06-27,<15,0,0,749,741
אבו גוש,472,2020-06-28,<15,0,0,756,748
אבו גוש,472,2020-06-29,<15,0,0,765,757
אבו גוש,472,2020-06-30,<15,0,0,773,765
אבו גוש,472,2020-07-01,<15,0,0,782,773
אבו גוש,472,2020-07-02,<15,0,0,796,787
אבו גוש,472,2020-07-03,<15,0,0,819,810
אבו גוש,472,2020-07-04,<15,0,0,834,825
אבו גוש,472,2020-07-05,<15,0,0,852,843
אבו גוש,472,2020-07-06,<15,0,0,870,860
אבו גוש,472,2020-07-07,<15,0,0,882,872
אבו גוש,472,2020-07-08,<15,0,0,890,880
אבו גוש,472,2020-07-09,<15,0,0,906,896
אבו גוש,472,2020-07-10,<15,0,0,918,908
אבו גוש,472,2020-07-11,<15,0,0,933,923
אבו גוש,472,2020-07-12,<15,0,0,938,928
אבו גוש,472,2020-07-13,<15,0,0,1014,1003
אבו גוש,472,2020-07-14,<15,0,0,1042,1031
אבו גוש,472,2020-07-15,<15,0,0,1051,1039
אבו גוש,472,2020-07-16,<15,0,0,1078,1066
אבו גוש,472,2020-07-17,<15,0,0,1104,1092
אבו גוש,472,2020-07-18,<15,0,0,1111,1098
אבו גוש,472,2020-07-19,<15,0,0,1120,1107
אבו גוש,472,2020-07-20,<15,0,0,1143,1130
אבו גוש,472,2020-07-21,<15,0,0,1176,1163
אבו גוש,472,2020-07-22,<15,0,0,1187,1174
אבו גוש,472,2020-07-23,17,<15,0,1203,1190
אבו גוש,472,2020-07-24,18,<15,0,1226,1213
אבו גוש,472,2020-07-25,19,<15,0,1242,1228
אבו גוש,472,2020-07-26,20,<15,0,1258,1244
אבו גוש,472,2020-07-27,20,<15,0,1280,1266
אבו גוש,472,2020-07-28,20,<15,0,1341,1327
אבו גוש,472,2020-07-29,26,<15,0,1426,1412
אבו גוש,472,2020-07-30,26,<15,0,1433,1419
אבו גוש,472,2020-07-31,26,<15,0,1442,1427
אבו גוש,472,2020-08-01,26,<15,0,1443,1428
